carType,carVersion,elements,costs,status
Sedan,Business,"Suspension,LEDLights",36169,New
SUV,Basic,Suspension,68931,New
Sedan,Business,"BiggerWheels,LEDLights,SoundSystem",74082,unknown
SUV,Basic,LeatherSeats,72753,unknown
SUV,Business,BiggerWheels,110307,unknown
SUV,RS,"BiggerWheels,Suspension,LeatherSeats",118259,unknown
SUV,Basic,"LEDLights,BiggerWheels",64511,unknown
SUV,Business,"Suspension,SoundSystem,LEDLights",93869,unknown
Sedan,Business,"LEDLights,BiggerWheels,SoundSystem",48614,New
Sedan,Basic,"LeatherSeats,LEDLights,SoundSystem",48363,unknown
